Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Idaho,US,2020-12-01 05:30:26,44.2405,-114.4788,101698,929,40461.0,60308.0,16.0,5690.78349136713,473037.0,,0.9134889575016224,84000016.0,USA,26470.050054139047,
Illinois,US,2020-12-01 05:30:26,40.3495,-88.9861,726304,12985,,713319.0,17.0,5731.646619692623,10497998.0,,1.7878188747411552,84000017.0,USA,82845.22011477278,
Indiana,US,2020-12-01 05:30:26,39.8494,-86.2583,338977,5723,197078.0,136176.0,18.0,5035.145172787754,4259964.0,,1.6883151364251852,84000018.0,USA,63277.264153171476,
Iowa,US,2020-12-01 05:30:26,42.0115,-93.2105,230631,2426,132271.0,95934.0,19.0,7309.853664102539,1070816.0,,1.0518967528216068,84000019.0,USA,33939.53224492642,
Kansas,US,2020-12-01 05:30:26,38.5266,-96.7265,159915,1560,3403.0,154952.0,20.0,5489.109653130421,822884.0,,0.9755182440671608,84000020.0,USA,28245.633666676506,
Kentucky,US,2020-12-01 05:30:26,37.6681,-84.6701,179041,1908,28281.0,148852.0,21.0,4007.477718266311,2583120.0,,1.0656776939360255,84000021.0,USA,57818.018462855274,
Louisiana,US,2020-12-01 05:30:26,31.1695,-91.8678,232414,6420,192488.0,33506.0,22.0,4999.447168448419,3403719.0,,2.762312081027821,84000022.0,USA,73217.24731188348,
Maine,US,2020-12-01 05:30:26,44.6939,-69.3819,11757,194,9098.0,2465.0,23.0,874.6388218525052,875799.0,,1.6500808029259164,84000023.0,USA,65153.33890785085,
Maryland,US,2020-12-01 05:30:26,39.0639,-76.8021,198370,4641,8608.0,185121.0,24.0,3281.1859046459613,4429749.0,,2.339567474920603,84000024.0,USA,73271.31108494,
Massachusetts,US,2020-12-01 05:30:26,42.2302,-71.5301,226132,10748,155473.0,59911.0,25.0,3280.8400663735656,8400584.0,,4.752976137831,84000025.0,USA,121880.01949364404,
Michigan,US,2020-12-01 05:30:26,43.3266,-84.5361,388942,9564,165269.0,214109.0,26.0,3894.53859207156,6677336.0,,2.458978459513244,84000026.0,USA,66861.23572210957,
Minnesota,US,2020-12-01 05:30:26,45.6945,-93.9002,318763,3652,272608.0,42503.0,27.0,5652.195036839284,4156622.0,,1.1456787644739197,84000027.0,USA,73703.78067221407,
Mississippi,US,2020-12-01 05:30:26,32.7416,-89.6787,153270,3807,128746.0,20717.0,28.0,5149.943769616373,1135665.0,,2.4838520258367587,84000028.0,USA,38158.8757820929,
Missouri,US,2020-12-01 05:30:26,38.4561,-92.2884,306206,3861,,302345.0,29.0,4989.15832495306,3076377.0,,1.260915854032906,84000029.0,USA,50124.85686186461,
Montana,US,2020-12-01 05:30:26,46.9219,-110.4544,62198,681,45486.0,16031.0,30.0,5819.543441201073,656021.0,,1.094890510948905,84000030.0,USA,61380.47377472216,
Nebraska,US,2020-12-01 05:30:26,41.1254,-98.2681,128407,1018,63562.0,63827.0,31.0,6638.051538248394,1354171.0,,0.7927916702360464,84000031.0,USA,70004.41478736648,
Nevada,US,2020-12-01 05:30:26,38.3135,-117.0554,152171,2144,,150027.0,32.0,4940.366656753748,1638099.0,,1.4089412568754889,84000032.0,USA,53182.33881660539,
New Hampshire,US,2020-12-01 05:30:26,43.4525,-71.5639,21030,526,14999.0,5505.0,33.0,1546.6521930027775,810663.0,,2.5011887779362816,84000033.0,USA,59620.24283101336,
New Jersey,US,2020-12-01 05:30:26,40.2989,-74.521,337304,16993,43771.0,276540.0,34.0,3797.5319149894335,6086496.0,,5.037888670161042,84000034.0,USA,68524.72194357472,
New Mexico,US,2020-12-01 05:30:26,34.8405,-106.2485,97095,1568,32569.0,62958.0,35.0,4630.563579576588,1558291.0,,1.614913229311499,84000035.0,USA,74316.55132583535,
New York,US,2020-12-01 05:30:26,42.1657,-74.9481,647980,34605,85556.0,527819.0,36.0,3330.9068709836724,19421498.0,,5.340442606253278,84000036.0,USA,99835.18184665524,
North Carolina,US,2020-12-01 05:30:26,35.6301,-79.8064,364512,5261,315979.0,43272.0,37.0,3475.4870384333312,5316284.0,,1.4432995347203932,84000037.0,USA,50688.80073805664,
North Dakota,US,2020-12-01 05:30:26,47.5289,-99.78399999999999,79252,933,71848.0,6471.0,38.0,10399.678766294606,1088089.0,,1.1772573562812294,84000038.0,USA,142782.21457046806,
Ohio,US,2020-12-01 05:30:26,40.3888,-82.7649,421063,6429,271326.0,143308.0,39.0,3602.184941526722,6128597.0,,1.5268499013211798,84000039.0,USA,52430.01599780993,
Oklahoma,US,2020-12-01 05:30:26,35.5653,-96.9289,197745,1743,163727.0,32275.0,40.0,4997.383099345434,2071213.0,,0.8814382158840931,84000040.0,USA,52343.39599658426,
Oregon,US,2020-12-01 05:30:26,44.571999999999996,-122.0709,75431,912,5870.0,68649.0,41.0,1788.4235076772213,1044117.0,,1.2090519812809055,84000041.0,USA,24755.384226185757,
Pennsylvania,US,2020-12-01 05:30:26,40.5908,-77.2098,366835,10335,216878.0,139622.0,42.0,2865.4531729405485,3189513.0,,2.8173429471015576,84000042.0,USA,24914.19887956473,
Rhode Island,US,2020-12-01 05:30:26,41.6809,-71.5118,56723,1373,3737.0,51613.0,44.0,5354.454241755171,1550160.0,,2.4205348800310285,84000044.0,USA,146329.72140752774,
South Carolina,US,2020-12-01 05:30:26,33.8569,-80.945,217487,4381,114457.0,98649.0,45.0,4224.10333920276,2399463.0,,2.014373272885276,84000045.0,USA,46603.151777317595,
South Dakota,US,2020-12-01 05:30:26,44.2998,-99.4388,80464,946,62334.0,17184.0,46.0,9095.481987975028,328852.0,,1.175681049910519,84000046.0,USA,37172.741135284894,
Tennessee,US,2020-12-01 05:30:26,35.7478,-86.6923,374493,4602,328710.0,41181.0,47.0,5483.723214549812,4545436.0,,1.2288614206407062,84000047.0,USA,66559.08899085014,
Texas,US,2020-12-01 05:30:26,31.0545,-97.5635,1238752,21896,962639.0,254217.0,48.0,4272.1654154947055,10761759.0,,1.7675854408307716,84000048.0,USA,37114.78537244653,
Utah,US,2020-12-01 05:30:26,40.15,-111.8624,195706,871,134296.0,60539.0,49.0,6104.4467831456295,1824046.0,,0.4450553381092046,84000049.0,USA,56895.50518129059,
Vermont,US,2020-12-01 05:30:26,44.0459,-72.7107,4172,69,2523.0,1580.0,50.0,668.6015298346606,552954.0,,1.653883029721956,84000050.0,USA,88615.98521768814,
Virginia,US,2020-12-01 05:30:26,37.7693,-78.17,237835,4062,24199.0,209574.0,51.0,2786.415213884475,3326327.0,,1.7079067420690814,84000051.0,USA,38970.41292978201,
